occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse
Transportation and Material Moving Occupations,12532030,0.3,18.23,37920,0.3
Supervisors of Transportation and Material Moving Workers,464890,0.6,27.81,57850,0.2
First-Line Supervisors of Transportation and Material Moving Workers,464890,0.6,27.81,57850,0.2
Aircraft Cargo Handling Supervisors,9500,6.2,27.87,57960,1.6
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",455390,0.6,27.81,57840,0.2
Air Transportation Workers,275960,1.7,*,104130,2.2
Aircraft Pilots and Flight Engineers,122350,2.0,*,152610,3.4
"Airline Pilots, Copilots, and Flight Engineers",84520,2.6,*,174870,3.6
Commercial Pilots,37830,2.6,*,102870,2.8
Air Traffic Controllers and Airfield Operations Specialists,32780,1.3,47.96,99760,1.2
Air Traffic Controllers,22090,0.6,57.76,120140,0.8
Airfield Operations Specialists,10680,3.6,27.7,57620,3.4
Flight Attendants,120840,2.1,*,56230,1.8
Flight Attendants,120840,2.1,*,56230,1.8
Motor Vehicle Operators,4174700,0.4,19.57,40710,0.2
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",14740,5.7,14.23,29600,2.3
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",14740,5.7,14.23,29600,2.3
Driver/Sales Workers and Truck Drivers,3223840,0.5,20.27,42170,0.2
Driver/Sales Workers,444660,1.9,14.53,30230,0.6
Heavy and Tractor-Trailer Truck Drivers,1856130,0.6,22.52,46850,0.2
Light Truck Drivers,923050,0.8,18.52,38520,0.4
Passenger Vehicle Drivers,879540,1.1,17.21,35790,0.7
"Bus Drivers, Transit and Intercity",179510,2.3,22.03,45830,2.0
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",700030,1.2,15.97,33210,0.5
Miscellaneous Motor Vehicle Operators,56590,3.3,17.93,37300,1.6
"Motor Vehicle Operators, All Other",56590,3.3,17.93,37300,1.6
Rail Transportation Workers,111090,5.3,32.33,67240,1.0
Locomotive Engineers and Operators,40920,7.0,33.21,69080,1.2
Locomotive Engineers,35520,7.5,34.41,71570,1.4
"Rail Yard Engineers, Dinkey Operators, and Hostlers",5400,13.3,25.33,52690,2.2
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",11080,11.7,29.99,62380,2.0
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",11080,11.7,29.99,62380,2.0
Railroad Conductors and Yardmasters,45710,6.4,32.86,68350,1.4
Railroad Conductors and Yardmasters,45710,6.4,32.86,68350,1.4
Subway and Streetcar Operators,10730,12.9,30.66,63770,5.1
Subway and Streetcar Operators,10730,12.9,30.66,63770,5.1
Miscellaneous Rail Transportation Workers,2650,13.9,26.04,54170,2.7
"Rail Transportation Workers, All Other",2650,13.9,26.04,54170,2.7
Water Transportation Workers,75180,4.3,34.25,71240,4.1
Sailors and Marine Oilers,31290,4.5,25.6,53250,9.2
Sailors and Marine Oilers,31290,4.5,25.6,53250,9.2
Ship and Boat Captains and Operators,35480,5.5,40.93,85130,3.0
"Captains, Mates, and Pilots of Water Vessels",33370,5.8,42.03,87420,3.2
Motorboat Operators,2120,10.8,23.57,49030,3.4
Ship Engineers,8410,4.8,38.24,79540,1.8
Ship Engineers,8410,4.8,38.24,79540,1.8
Other Transportation Workers,368840,1.5,15.98,33240,1.1
Bridge and Lock Tenders,3150,4.4,23.02,47880,1.0
Bridge and Lock Tenders,3150,4.4,23.02,47880,1.0
Parking Attendants,147390,2.6,12.72,26450,0.6
Parking Attendants,147390,2.6,12.72,26450,0.6
Automotive and Watercraft Service Attendants,117670,2.2,12.91,26860,0.5
Traffic Technicians,7470,3.2,25.28,52590,1.7
Traffic Technicians,7470,3.2,25.28,52590,1.7
Transportation Inspectors,30020,4.4,37.27,77530,1.4
Transportation Inspectors,30020,4.4,37.27,77530,1.4
Passenger Attendants,28200,8.8,14.15,29420,2.0
Passenger Attendants,28200,8.8,14.15,29420,2.0
"Aircraft Service Attendants and Transportation Workers, All Other",34940,4.5,20.65,42940,3.3
Material Moving Workers,7061370,0.4,15.28,31790,0.2
Conveyor Operators and Tenders,24050,3.8,17.38,36150,0.9
Conveyor Operators and Tenders,24050,3.8,17.38,36150,0.9
Crane and Tower Operators,45480,3.2,29.1,60530,1.5
Crane and Tower Operators,45480,3.2,29.1,60530,1.5
Dredge Operators,1550,11.6,24.68,51340,3.3
Dredge Operators,1550,11.6,24.68,51340,3.3
Hoist and Winch Operators,4800,7.9,30.14,62690,4.0
Hoist and Winch Operators,4800,7.9,30.14,62690,4.0
Industrial Truck and Tractor Operators,629270,1.0,18.24,37930,0.3
Industrial Truck and Tractor Operators,629270,1.0,18.24,37930,0.3
Laborers and Material Movers,6168600,0.4,14.7,30570,0.2
Cleaners of Vehicles and Equipment,382670,1.1,13.43,27940,0.6
"Laborers and Freight, Stock, and Material Movers, Hand",2953170,0.7,15.45,32130,0.2
Machine Feeders and Offbearers,63280,3.0,15.87,33010,0.7
"Packers and Packagers, Hand",633640,1.9,13.31,27680,0.4
Stockers and Order Fillers,2135850,0.7,14.26,29660,0.2
Pumping Station Operators,26420,3.7,25.87,53820,1.2
Gas Compressor and Gas Pumping Station Operators,3440,6.8,30.15,62710,1.8
"Pump Operators, Except Wellhead Pumpers",10000,6.2,23.61,49120,2.1
Wellhead Pumpers,12970,5.7,26.48,55080,1.7
Refuse and Recyclable Material Collectors,121330,1.8,19.9,41400,1.2
Refuse and Recyclable Material Collectors,121330,1.8,19.9,41400,1.2
"Tank Car, Truck, and Ship Loaders",11620,8.1,22.88,47580,2.4
"Tank Car, Truck, and Ship Loaders",11620,8.1,22.88,47580,2.4
Miscellaneous Material Moving Workers,28240,4.6,17.56,36530,1.4
"Material Moving Workers, All Other",28240,4.6,17.56,36530,1.4
